,FACI_STAT,CP_NM,CPB_NM,FACI_POINT_X,FACI_POINT_Y,FACI_TEL,거리
59954,정상운영,서울특별시,중구,126.978983644,37.5637302414,02-775-1107,
60366,정상운영,서울특별시,중구,126.993380844,37.5642400884,2272-0175,
60509,정상운영,서울특별시,중구,127.021781685,37.564393236,,
60530,정상운영,서울특별시,중구,127.01180721,37.5615655259,,
61039,정상운영,서울특별시,중구,126.992497832,37.565793353,,
61418,정상운영,서울특별시,중구,127.015411353,37.5635473029,2235-3949,
61420,정상운영,서울특별시,중구,127.015411353,37.5635473029,,
61744,정상운영,서울특별시,중구,126.976165929,37.568912235,,
62203,정상운영,서울특별시,중구,126.974658129,37.5690885161,02-739-0283,
62333,정상운영,서울특별시,중구,126.982438418,37.5622820035,02-752-8570,
63749,폐업,서울특별시,중구,126.9817288333,37.5573300165,02-319-0337,
63983,정상운영,서울특별시,중구,127.013640021,37.557467594,2231-1453,
64685,정상운영,서울특별시,중구,127.021125041,37.5638275296,,
64920,정상운영,서울특별시,중구,127.01942704,37.5630133205,,
64963,정상운영,서울특별시,중구,127.0001720439,37.5643087495,02-2269-4055,
65630,정상운영,서울특별시,중구,126.97635289,37.5647244437,02-777-4280,
65656,정상운영,서울특별시,중구,126.972035326,37.5602653691,02-318-6777,
66058,정상운영,서울특별시,중구,126.985775434,37.5603831516,02-777-9112,
66105,정상운영,서울특별시,중구,126.985625427,37.5635510376,02-776-9893,
66376,정상운영,서울특별시,중구,127.008308354,37.5683232954,,
67603,정상운영,서울특별시,중구,126.984388619,37.5674828275,02-775-2523,
67665,폐업,서울특별시,중구,126.99776801,37.5625463795,,
67673,정상운영,서울특별시,중구,126.9791285164,37.563751891,02-0000-0000,
68137,정상운영,서울특별시,중구,127.0167379477,37.5638138172,02-2236-9993,
68176,정상운영,서울특별시,중구,127.014707876,37.5547680771,02-6261-1188,
68841,정상운영,서울특별시,중구,127.008077351,37.5674871874,02-925-3046,
69581,정상운영,서울특별시,중구,126.99581666,37.5635446306,02-2269-1031,
69724,정상운영,서울특별시,중구,126.994703494,37.5553455129,2285-3197,
70075,폐업,서울특별시,중구,126.9941325212,37.5627408701,02-2263-7979,
70219,정상운영,서울특별시,중구,127.004586106,37.5606938623,,
70279,정상운영,서울특별시,중구,126.96880893237604,37.56748334338328,02-735-0753,
70454,정상운영,서울특별시,중구,126.9850873284,37.5602136793,02-771-2250,
70564,정상운영,서울특별시,중구,126.971966325,37.5631809779,,
71052,정상운영,서울특별시,중구,127.013397178,37.5665028161,2232-5068,
71284,정상운영,서울특별시,중구,126.977033847,37.5587563763,,
72994,폐업,서울특별시,중구,126.973636854,37.5634156218,02-774-8733,
74427,정상운영,서울특별시,중구,126.9797676403,37.5609589129,02-319-0374,
74445,정상운영,서울특별시,중구,127.0073573848,37.5668024776,02-2118-8686,
74700,정상운영,서울특별시,중구,127.0105021041553,37.552714250920914,,
75385,정상운영,서울특별시,중구,126.978257891,37.5684224972,3783-0022,
75637,폐업,서울특별시,중구,126.991058543,37.5618252648,2038-0117,
75638,폐업,서울특별시,중구,126.991058543,37.5618252648,2272-7999,
76082,정상운영,서울특별시,중구,127.017895622,37.5581698035,02-2236-5220,
76164,정상운영,서울특별시,중구,126.9790478391,37.5608362518,02-0000-0000,
76588,정상운영,서울특별시,중구,127.01346519,37.5670470098,2254-1341,
76651,정상운영,서울특별시,중구,126.97774173003772,37.56842600499118,02-777-8200,
78183,정상운영,서울특별시,중구,126.987050942,37.5671551871,02-777-9774,
78216,정상운영,서울특별시,중구,127.0013264719,37.5599695425,,
78217,정상운영,서울특별시,중구,127.005341335,37.5491718717,2236-4195,
78824,정상운영,서울특별시,중구,126.9985103764,37.5686191049,02-2274-4321,
79214,정상운영,서울특별시,중구,127.007665461,37.5687341929,,
79587,정상운영,서울특별시,중구,126.981006998,37.5653451695,02-771-1000,
80312,정상운영,서울특별시,중구,126.975500229,37.5554548136,02-317-3114,
80908,정상운영,서울특별시,중구,127.013586027,37.5592876145,,
81035,정상운영,서울특별시,중구,127.0062978532,37.5659916425,02-2285-0753,
81844,정상운영,서울특별시,중구,126.9905643510226,37.56748348264467,02-2266-8247,
82044,정상운영,서울특별시,중구,127.0178420948,37.5615143123,02-0000-0000,
83095,정상운영,서울특별시,중구,126.978548877,37.5641950773,02-310-7421,
84805,정상운영,서울특별시,중구,127.019480867,37.5610887828,02-2232-6785,
85258,정상운영,서울특별시,중구,127.014790889728,37.5659409687669,02-2280-8404,
85672,정상운영,서울특별시,중구,127.005713155,37.5575907792,,
87794,정상운영,서울특별시,중구,127.014790889728,37.5659409687669,02-2280-8404,
87910,정상운영,서울특별시,중구,126.966006605,37.5568688301,02-2280-8455,
88047,정상운영,서울특별시,중구,127.014790889728,37.5659409687669,02-2280-8404,
88109,,서울특별시,중구,127.002304354,37.5601497268,02-2275-1101,
94031,정상운영,서울특별시,중구,127.018992526,37.5634710974,3352-2049,
94507,정상운영,서울특별시,중구,126.97377487972412,37.55713029833667,,
94571,폐업,서울특별시,중구,127.00565456,37.560985739,2266-1144,
94575,정상운영,서울특별시,중구,127.01247658773856,37.55758665427536,,
94614,정상운영,서울특별시,중구,126.984538595,37.5647618393,02-778-0152,
94870,정상운영,서울특별시,중구,126.97588883819684,37.557649723412034,02-3789-4927,
96097,정상운영,서울특별시,중구,126.995690052,37.5607695565,,
96330,정상운영,서울특별시,중구,127.01513913479964,37.560718208717226,02-2231-7970,
97892,정상운영,서울특별시,중구,126.9971158433,37.5684064441,02-0000-0000,
98442,정상운영,서울특별시,중구,127.00053866788092,37.550264001499386,02-2250-8000,
98443,정상운영,서울특별시,중구,127.00053866788092,37.550264001499386,02-2250-8000,
98444,정상운영,서울특별시,중구,127.000497927,37.550069386,02-2250-8000,
98445,정상운영,서울특별시,중구,127.000497927,37.550069386,02-2250-8000,
98446,정상운영,서울특별시,중구,127.000497927,37.550069386,02-2250-8000,
98516,정상운영,서울특별시,중구,126.976245705,37.5600788839,02-756-1117,
98610,정상운영,서울특별시,중구,126.9759485643,37.5690131024,02-737-2833,
98704,정상운영,서울특별시,중구,126.978657677,37.5637013511,,
98952,정상운영,서울특별시,중구,126.980183215,37.5644836818,02-771-0500,
99391,정상운영,서울특별시,중구,126.979288419,37.558540554,02-773-9078,
99396,정상운영,서울특별시,중구,126.9926339967565,37.56236597153693,02-2275-0776,
99403,폐업,서울특별시,중구,126.9926339967565,37.56236597153693,,
99564,정상운영,서울특별시,중구,127.01396210212306,37.56100306876738,02-6014-2844,
100013,정상운영,서울특별시,중구,127.00922159873522,37.55734188209109,02-2233-1770,
100628,정상운영,서울특별시,중구,126.9736368541,37.5634156218,02-774-8733,
100681,정상운영,서울특별시,중구,127.011625261,37.5560478376,,
100783,정상운영,서울특별시,중구,127.021070922,37.5645735642,,
100803,정상운영,서울특별시,중구,126.98291879705376,37.56017734560088,02-6020-5527,
101193,폐업,서울특별시,중구,126.9735326993546,37.563484074272615,02-779-8333,
101412,정상운영,서울특별시,중구,127.02495538755564,37.56421961654067,02-2231-1118,
101698,폐업,서울특별시,중구,127.00914450325658,37.55623185924434,,
101984,정상운영,서울특별시,중구,126.967771669,37.5579685418,02-313-7663,
101998,폐업,서울특별시,중구,127.016310514,37.5553084653,,
102197,정상운영,서울특별시,중구,127.0178956224892,37.55816980350889,,
103129,정상운영,서울특별시,중구,127.006039448,37.5618650927,,
103243,정상운영,서울특별시,중구,127.010877745,37.5521592021,02-2256-9444,
103265,정상운영,서울특별시,중구,126.967771669,37.5579685418,02-393-8707,
103497,정상운영,서울특별시,중구,127.017855678,37.5615179143,,
103554,정상운영,서울특별시,중구,127.012236578,37.5571253688,070-8236-4496,
104765,정상운영,서울특별시,중구,127.418421421,36.3189929932,,
104766,정상운영,서울특별시,중구,126.993308067,37.5680134556,,
104880,정상운영,서울특별시,중구,127.004174342,37.5645573508,070-4257-0087,
104912,정상운영,서울특별시,중구,126.998474311,37.5609462207,02-2266-7989,
105162,정상운영,서울특별시,중구,127.01700099216444,37.56580678318987,,
105163,정상운영,서울특별시,중구,126.965304338522,37.55811560607746,02-365-1712,
105164,폐업,서울특별시,중구,126.96835134938246,37.557464140138,,
105405,정상운영,서울특별시,중구,127.018690951,37.5705241412,02-2233-3959,
105455,정상운영,서울특별시,중구,127.016230942,37.5641274347,,
105644,정상운영,서울특별시,중구,127.016615327,37.5621019412,2231-3979,
106005,정상운영,서울특별시,중구,127.019377286,37.563197132,02-2235-1282,
106030,정상운영,서울특별시,중구,126.97774173003772,37.56842600499118,02-777-8200,
106316,정상운영,서울특별시,중구,126.977803749,37.5577798425,02-757-2486,
106718,폐업,서울특별시,중구,126.974898662,37.5539193871,02-311-9480,
107104,정상운영,서울특별시,중구,126.9845431213,37.5647654439,02-3789-1872,
107519,정상운영,서울특별시,중구,126.992552657,37.5608306681,2264-3955,
107565,폐업,서울특별시,중구,127.000194676,37.5622797055,,
107583,정상운영,서울특별시,중구,126.985128033,37.5604155077,,
107696,정상운영,서울특별시,중구,127.0209809951664,37.56679363456078,02-2231-5547,
107712,정상운영,서울특별시,중구,127.015401359,37.5589882606,02-2238-8347,
108213,정상운영,서울특별시,중구,126.986150358,37.5649025948,,
108274,정상운영,서울특별시,중구,126.99482532,37.5611407324,,
